"year","state","state_po","county_name","county_fips","totalvotes","candidate","party","all_votes","pct_votes","candidate_rank"
2000,"ALABAMA","AL","AUTAUGA",1001,17208,"GEORGE W. BUSH","REPUBLICAN",11993,"69.7",1
2000,"ALABAMA","AL","BALDWIN",1003,56480,"GEORGE W. BUSH","REPUBLICAN",40872,"72.4",1
2000,"ALABAMA","AL","BARBOUR",1005,10395,"AL GORE","DEMOCRAT",5188,"49.9",1
2000,"ALABAMA","AL","BIBB",1007,7101,"GEORGE W. BUSH","REPUBLICAN",4273,"60.2",1
2000,"ALABAMA","AL","BLOUNT",1009,17973,"GEORGE W. BUSH","REPUBLICAN",12667,"70.5",1
2000,"ALABAMA","AL","BULLOCK",1011,4904,"AL GORE","DEMOCRAT",3395,"69.2",1
2000,"ALABAMA","AL","BUTLER",1013,7803,"GEORGE W. BUSH","REPUBLICAN",4127,"52.9",1
2000,"ALABAMA","AL","CALHOUN",1015,38909,"GEORGE W. BUSH","REPUBLICAN",22306,"57.3",1
2000,"ALABAMA","AL","CHAMBERS",1017,11834,"GEORGE W. BUSH","REPUBLICAN",6037,"51.0",1
2000,"ALABAMA","AL","CHEROKEE",1019,7823,"GEORGE W. BUSH","REPUBLICAN",4154,"53.1",1
2000,"ALABAMA","AL","CHILTON",1021,15092,"GEORGE W. BUSH","REPUBLICAN",10066,"66.7",1
2000,"ALABAMA","AL","CHOCTAW",1023,7374,"AL GORE","DEMOCRAT",3707,"50.3",1
2000,"ALABAMA","AL","CLARKE",1025,10752,"GEORGE W. BUSH","REPUBLICAN",5988,"55.7",1
2000,"ALABAMA","AL","CLAY",1027,5883,"GEORGE W. BUSH","REPUBLICAN",3719,"63.2",1
2000,"ALABAMA","AL","CLEBURNE",1029,5092,"GEORGE W. BUSH","REPUBLICAN",3333,"65.5",1
2000,"ALABAMA","AL","COFFEE",1031,15434,"GEORGE W. BUSH","REPUBLICAN",9938,"64.4",1
2000,"ALABAMA","AL","COLBERT",1033,21532,"AL GORE","DEMOCRAT",10543,"49.0",1
2000,"ALABAMA","AL","CONECUH",1035,5551,"AL GORE","DEMOCRAT",2783,"50.1",1
2000,"ALABAMA","AL","COOSA",1037,4567,"GEORGE W. BUSH","REPUBLICAN",2382,"52.2",1
2000,"ALABAMA","AL","COVINGTON",1039,13613,"GEORGE W. BUSH","REPUBLICAN",8961,"65.8",1
2000,"ALABAMA","AL","CRENSHAW",1041,4795,"GEORGE W. BUSH","REPUBLICAN",2793,"58.2",1
2000,"ALABAMA","AL","CULLMAN",1043,29525,"GEORGE W. BUSH","REPUBLICAN",19157,"64.9",1
2000,"ALABAMA","AL","DALE",1045,15806,"GEORGE W. BUSH","REPUBLICAN",10593,"67.0",1
2000,"ALABAMA","AL","DALLAS",1047,18464,"AL GORE","DEMOCRAT",10967,"59.4",1
2000,"ALABAMA","AL","DEKALB",1049,20285,"GEORGE W. BUSH","REPUBLICAN",12827,"63.2",1
2000,"ALABAMA","AL","ELMORE",1051,23804,"GEORGE W. BUSH","REPUBLICAN",16777,"70.5",1
2000,"ALABAMA","AL","ESCAMBIA",1053,11660,"GEORGE W. BUSH","REPUBLICAN",6975,"59.8",1
2000,"ALABAMA","AL","ETOWAH",1055,39348,"GEORGE W. BUSH","REPUBLICAN",21087,"53.6",1
2000,"ALABAMA","AL","FAYETTE",1057,7808,"GEORGE W. BUSH","REPUBLICAN",4582,"58.7",1
2000,"ALABAMA","AL","FRANKLIN",1059,11103,"GEORGE W. BUSH","REPUBLICAN",6119,"55.1",1
2000,"ALABAMA","AL","GENEVA",1061,9559,"GEORGE W. BUSH","REPUBLICAN",6588,"68.9",1
